Year,Month,Q(m3/s),,,,,,,,,,
1971,7,8068.0,,,,,,,,,,
1971,8,4569.0,,,,,,,,,,
1971,9,3062.0,,,,,,,,,,
1971,10,3288.0,,,,,,,,,,
1971,11,3618.0,,,,,,,,,,
1971,12,4138.0,,,,,,,,,,
1972,1,4432.0,,,,,,,,,,
1972,2,5322.0,,,,,,,,,,
1972,3,9360.0,,,,,,,,,,
1972,4,8242.0,,,,,,,,,,
1972,5,11394.0,,,,,,,,,,
1972,6,16125.0,,,,,,,,,,
1972,7,8347.0,,,,,,,,,,
1972,8,5120.0,,,,,,,,,,
1972,9,3606.0,,,,,,,,,,
1972,10,3427.0,,,,,,,,,,
1972,11,3587.0,,,,,,,,,,
1972,12,4339.0,,,,,,,,,,
1973,1,4262.0,,,,,,,,,,
1973,2,3903.0,,,,,,,,,,
1973,3,4225.0,,,,,,,,,,
1973,4,3962.0,,,,,,,,,,
1973,5,4205.0,,,,,,,,,,
1973,6,4069.0,,,,,,,,,,
1973,7,3756.0,,,,,,,,,,
1973,8,3628.0,,,,,,,,,,
1973,9,2877.0,,,,,,,,,,
1973,10,3154.0,,,,,,,,,,
1973,11,3365.0,,,,,,,,,,
1973,12,4763.0,,,,,,,,,,
1974,1,7154.0,,,,,,,,,,
1974,2,6708.0,,,,,,,,,,
1974,3,6431.0,,,,,,,,,,
1974,4,8770.0,,,,,,,,,,
1974,5,9977.0,,,,,,,,,,
1974,6,13629.0,,,,,,,,,,
1974,7,8363.0,,,,,,,,,,
1974,8,4748.0,,,,,,,,,,
1974,9,3815.0,,,,,,,,,,
1974,10,3686.0,,,,,,,,,,
1974,11,3731.0,,,,,,,,,,
1974,12,3859.0,,,,,,,,,,
1975,1,4526.0,,,,,,,,,,
1975,2,5075.0,,,,,,,,,,
1975,3,6154.0,,,,,,,,,,
1975,4,5955.0,,,,,,,,,,
1975,5,8748.0,,,,,,,,,,
1975,6,9301.0,,,,,,,,,,
1975,7,5686.0,,,,,,,,,,
1975,8,3711.0,,,,,,,,,,
1975,9,3132.0,,,,,,,,,,
1975,10,3340.0,,,,,,,,,,
1975,11,4209.0,,,,,,,,,,
1975,12,5644.0,,,,,,,,,,
